WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
994560,1,0,0,10,2,5,0,0,0,61,0,50,35,0,0,1,1,0,0.11
994561,1,0,0,13,12,6,0,1,0,65,0,0,1775,0,0,0,0,0,0.54
994562,1,0,0,12,3,2,0,0,0,62,0,30,86,0,0,1,0,0,0.07
994564,1,0,0,9,3,4,1,0,0,71,0,0,30,0,0,0,1,0,0.28
994565,1,0,0,10,6,2,1,0,1,56,0,20,70,0,0,1,,0,0.43
994566,1,0,0,12,12,2,0,0,1,45,0,20,4682,0,0,1,0,0,1.49
994569,1,0,0,12,7,2,1,0,1,75,0,0,27,0,0,1,1,0,0.38
994570,0,0,0,10,10,6,0,0,0,75,0,10,34,0,0,1,,0,0.9
994571,1,0,0,10,5,7,0,1,0,82,0,0,36,0,0,1,0,0,0.24
994575,1,0,0,9,8,4,1,0,1,62,0,50,22,0,0,1,,0,1.73
994584,1,0,0,10,15,8,1,0,0,61,0,20,61,0,1,1,1,0,1.35
994587,1,0,0,12,7,2,1,0,0,36,0,50,38,0,0,1,,0,0.33
994593,1,0,0,12,16,2,1,1,0,53,2,50,7,0,0,0,0,0,1.01
994596,1,0,0,12,5,6,0,1,0,60,0,10,357,0,1,1,1,0,0.17
994597,1,0,0,13,11,3,0,0,1,72,0,20,18,0,0,1,,0,0.52
994598,1,0,0,11,4,5,1,0,1,38,1,50,16,0,0,0,0,0,1.57
994599,1,0,0,10,6,6,1,1,0,54,0,0,30,0,1,1,1,0,0.94
994601,1,0,0,14,7,6,0,0,1,61,0,10,25,1,0,1,1,1,0.59
994603,0,1,0,13,4,2,1,0,1,59,1,50,20,1,0,1,,0,0.35
