Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose,Bivalent.Booster.1
2021-02-02,Union,83,127,NA,NA,NA
2021-12-04,Luzerne,223,650,482,NA,NA
2020-12-18,Cambria,191,NA,NA,NA,NA
2020-12-18,Centre,312,NA,NA,NA,NA
2020-12-18,Chester,319,1,NA,NA,NA
2020-12-18,Clarion,95,NA,NA,NA,NA
2020-12-18,Clearfield,172,NA,NA,NA,NA
2022-08-16,Bucks,125,115,106,92,NA
2020-12-18,Crawford,87,NA,NA,NA,NA
2021-09-02,Carbon,46,118,9,NA,NA
2020-12-18,Dauphin,30,NA,NA,NA,NA
2020-12-18,Delaware,466,1,NA,NA,NA
2020-12-18,Elk,36,NA,NA,NA,NA
2020-12-18,Erie,288,NA,NA,NA,NA
2020-12-18,Fayette,323,1,NA,NA,NA
2020-12-18,Forest,12,NA,NA,NA,NA
2022-10-19,Union,1,1,NA,NA,99
2020-12-18,Greene,10,NA,NA,NA,NA
2020-12-18,Huntingdon,19,NA,NA,NA,NA
2020-12-18,Indiana,90,NA,NA,NA,NA
2020-12-18,Jefferson,97,NA,NA,NA,NA
2020-12-18,Juniata,10,NA,NA,NA,NA
2022-03-18,Philadelphia,402,441,629,NA,NA
2022-04-13,Allegheny,305,395,363,1526,NA
2020-12-18,Lebanon,10,NA,NA,NA,NA
2022-07-17,Bucks,49,43,56,155,NA
2020-12-18,Luzerne,249,NA,NA,NA,NA
2020-12-18,McKean,5,NA,NA,NA,NA
2020-12-18,Mercer,58,NA,NA,NA,NA
2020-12-18,Mifflin,52,NA,NA,NA,NA
2020-12-18,Monroe,106,NA,NA,NA,NA
2021-11-13,Berks,700,114,635,NA,NA
2021-04-16,Carbon,284,380,NA,NA,NA
2020-12-18,Perry,4,NA,NA,NA,NA
2020-12-18,Pike,9,NA,NA,NA,NA
2020-12-18,Potter,10,NA,NA,NA,NA
2022-02-23,Montgomery,163,140,247,NA,NA
