County,Democratic,Republican,Libertarian,Other,Total,DemPercent,GOPPercent,LibPercent,OtherPercent,Votes_Casey,Votes_Harris,Votes_Mccormick,Votes_Trump,ElecDay_Casey,ElecDay_Harris,ElecDay_Mccormick,ElecDay_Trump,MailIn_Casey,MailIn_Harris,MailIn_Mccormick,MailIn_Trump,Provisional_Casey,Provisional_Harris,Provisional_Mccormick,Provisional_Trump,HarrisPercent,TrumpPercent,CaseyPercent,McCormickPercent
Perry,6138,21071,192,3864,31265,19.632176555253476,67.39485047177355,0.6141052294898449,12.358867743483128,6470,6385,18355,19073,4156,4064,15523,16146,2285,2292,2783,2872,29,29,49,55,25.08052478592191,74.91947521407809,26.06243705941591,73.93756294058409
Philadelphia,808522,136137,4268,168368,1117295,72.36423683986771,12.184517070245548,0.3819940123244085,15.069252077562325,541567,568571,129098,144311,366221,388223,104849,118451,166272,170390,22601,23922,9074,9958,1648,1938,79.75667782325827,20.24332217674173,80.7507473925134,19.2492526074866
Pike,14128,22838,244,10052,47262,29.8929372434514,48.32211925013753,0.5162709999576828,21.268672506453388,12909,13132,20869,21537,5781,5881,13090,13594,6999,7120,7559,7710,129,131,220,233,37.87821973521013,62.12178026478987,38.21718278169223,61.78281721830777
Potter,1845,8171,57,1200,11273,16.36653951920518,72.48292380023064,0.5056329282356071,10.644903752328574,1695,1675,7109,7334,1094,1054,5910,6123,597,617,1183,1194,4,4,16,17,18.59251859251859,81.40748140748141,19.252612448886868,80.74738755111312
Schuylkill,26686,52911,513,12524,92634,28.80799706371311,57.11833667983678,0.5537923440637347,13.519873912386382,22224,20882,48553,51665,14897,13674,41259,43942,7186,7072,7094,7502,141,136,200,221,28.784098584365996,71.215901415634,31.40003108354409,68.59996891645591
Snyder,4998,16112,141,2888,24139,20.705083060607315,66.74675835784414,0.5841169891047682,11.964041592443763,5309,5239,14211,14664,3365,3255,11723,12145,1900,1934,2423,2454,44,50,65,65,26.322664924885697,73.6773350751143,27.19774590163934,72.80225409836065
Somerset,11405,33246,231,4959,49841,22.88276719969503,66.70411909873397,0.4634738468329287,9.949639854738066,9057,8596,30662,31993,5968,5543,26383,27536,3053,3019,4184,4356,36,34,95,101,21.178151715982164,78.82184828401783,22.802688889448376,77.19731111055162
Sullivan,1147,2872,23,531,4573,25.082003061447626,62.803411327356216,0.5029521102121146,11.611633500984036,1021,976,2612,2721,687,645,2183,2279,329,327,420,432,5,4,9,10,26.399783608331077,73.60021639166891,28.103495733553537,71.89650426644646
Susquehanna,6420,17445,146,3717,27728,23.153491055972303,62.91474321984997,0.5265435660703982,13.405222158107327,6128,6093,15547,16114,3770,3711,12577,13067,2310,2337,2845,2904,48,45,125,143,27.437294546764534,72.56270545323547,28.272202998846595,71.7277970011534
Tioga,5216,18313,157,3509,27195,19.179996322853466,67.33958448244162,0.5773120058834345,12.903107188821474,5066,5100,15778,16272,3327,3323,13300,13718,1715,1757,2433,2505,24,20,45,49,23.86299831555306,76.13700168444694,24.304356169641146,75.69564383035886
Union,8281,14823,114,4460,27678,29.919069296914518,53.55517017125515,0.41187947106004774,16.11388106077029,7872,8015,12747,12969,4891,4993,10118,10298,2918,2953,2527,2560,63,69,102,111,38.19576820434617,61.80423179565383,38.178379164847954,61.821620835152046
Venango,8519,20248,218,4289,33274,25.60257257919096,60.85231712448158,0.6551661958285748,12.889944100498887,7902,7624,17825,18883,5007,4717,14982,15910,2796,2806,2709,2833,99,101,134,140,28.762213754857207,71.2377862451428,30.714813231235667,69.28518676876433
Warren,6906,15834,127,4004,26871,25.700569387071564,58.92597968069666,0.47262848423951476,14.90082244799226,6415,6212,13655,14345,4185,3983,11575,12173,2202,2197,2031,2122,28,32,49,50,30.218417084204894,69.7815829157951,31.963129048330842,68.03687095166916
Washington,55901,73411,724,18784,148820,37.56282757693859,49.32871925816423,0.4864937508399409,12.621959414057251,45926,44910,71798,75929,28763,27742,59657,63414,16915,16929,11831,12171,248,239,310,344,37.165153634174395,62.834846365825605,39.0115864224797,60.988413577520305
Wayne,9260,21928,197,5985,37370,24.77923468022478,58.678084024618684,0.5271608241905271,16.015520470966017,9385,9150,19331,20071,5284,5047,14403,14991,4057,4058,4788,4931,44,45,140,149,31.313096745491258,68.68690325450875,32.68212843014348,67.31787156985652
Westmoreland,91183,131914,1351,31256,255704,35.659590776835714,51.588555517316905,0.5283452742233208,12.223508431624065,76004,74904,128040,135008,45982,44718,103986,110249,29651,29800,23490,24161,371,386,564,598,35.68352452456268,64.31647547543733,37.24882868400933,62.751171315990675
Wyoming,4775,11349,89,2208,18421,25.92150263286467,61.609033168666194,0.48314423755496444,11.986319960914175,4750,4680,9917,10222,3036,2939,8268,8560,1689,1719,1616,1623,25,22,35,39,31.40518051268286,68.59481948731714,32.38562759937274,67.61437240062726
York,99649,172079,2178,56841,330747,30.128466773697117,52.02738044487176,0.6585093742346869,17.185643407196437,91779,91926,148098,154884,55794,55238,119596,125588,34416,35072,26943,27601,1569,1616,1559,1695,37.2456545520846,62.754345447915405,38.26085869007866,61.73914130992133
