Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,COLUMBIA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"20,600",0,0,"17,583",0,0,"2,912",0,0,105,0,0
2024 Presidential Election,CRAWFORD,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"12,858",0,0,"7,891",0,0,"4,887",0,0,80,0,0
2024 Presidential Election,CRAWFORD,President of the United States,Statewide,Republican,DONALD J TRUMP,"29,685",0,0,"24,557",0,0,"5,009",0,0,119,0,0
2024 Presidential Election,CRAWFORD,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"13,370",0,0,"8,382",0,0,"4,915",0,0,73,0,0
2024 Presidential Election,CRAWFORD,United States Senator,Statewide,Republican,DAVE MCCORMICK,"28,234",0,0,"23,359",0,0,"4,766",0,0,109,0,0
2024 Presidential Election,CUMBERLAND,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"66,255",0,0,"40,735",0,0,"25,061",0,0,459,0,0
2024 Presidential Election,CUMBERLAND,President of the United States,Statewide,Republican,DONALD J TRUMP,"80,267",0,0,"62,582",0,0,"17,278",0,0,407,0,0
2024 Presidential Election,CUMBERLAND,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"64,713",0,0,"39,802",0,0,"24,475",0,0,436,0,0
2024 Presidential Election,CUMBERLAND,United States Senator,Statewide,Republican,DAVE MCCORMICK,"78,178",0,0,"60,575",0,0,"17,229",0,0,374,0,0
2024 Presidential Election,DAUPHIN,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"78,327",0,0,"50,426",0,0,"26,722",0,0,"1,179",0,0
2024 Presidential Election,DAUPHIN,President of the United States,Statewide,Republican,DONALD J TRUMP,"69,474",0,0,"55,905",0,0,"12,872",0,0,697,0,0
2024 Presidential Election,DAUPHIN,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"77,022",0,0,"49,654",0,0,"26,229",0,0,"1,139",0,0
2024 Presidential Election,DAUPHIN,United States Senator,Statewide,Republican,DAVE MCCORMICK,"66,949",0,0,"53,640",0,0,"12,719",0,0,590,0,0
2024 Presidential Election,DELAWARE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"201,324",0,0,"133,435",0,0,"65,628",0,0,"2,261",0,0
2024 Presidential Election,DELAWARE,President of the United States,Statewide,Republican,DONALD J TRUMP,"123,421",0,0,"100,303",0,0,"22,069",0,0,"1,049",0,0
2024 Presidential Election,DELAWARE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"197,424",0,0,"131,147",0,0,"64,097",0,0,"2,180",0,0
2024 Presidential Election,DELAWARE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"121,482",0,0,"98,078",0,0,"22,399",0,0,"1,005",0,0
2024 Presidential Election,ELK,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"4,483",0,0,"2,887",0,0,"1,580",0,0,16,0,0
2024 Presidential Election,ELK,President of the United States,Statewide,Republican,DONALD J TRUMP,"12,543",0,0,"10,724",0,0,"1,784",0,0,35,0,0
